name,age,street,city,state,zip,lng,lat
Paul Taylor,65,9634 Bailey Locks Apt. 484,East Kevinfort,Ohio,37170,179.182847,-4.9442575
Cheryl Lewis,20,497 Kristina Ferry,West Autumnburgh,Kansas,90672,-134.735105,-46.1428375
Kyle Park,73,1296 Blake Trail Apt. 861,North Edwinhaven,Arizona,80126,-55.287713,-57.694033
Adam Camacho,56,057 Dylan Forges,Richardsonfurt,North Dakota,56747,-96.216336,-35.443769
Melissa Rodriguez,60,078 Colon Bridge Apt. 478,Helenton,Maryland,93227,-125.137563,-25.8395935
Hailey Chapman,69,0094 Clark Harbor,West Melaniefurt,North Carolina,32560,88.618595,35.8673675
Anthony Harrison,64,5476 Ellen Vista,Danieltown,Wisconsin,05164,68.850184,35.866868
Scott Leonard,62,876 Michael Centers Suite 626,East Robertland,Florida,96371,0.837919,29.0534625
Stacy Mason,66,711 William Shore,Brockside,California,72955,-131.291387,-12.138970
Brandon Weaver,74,8955 Gardner Shoals,North Sara,Alaska,58963,93.044672,-69.514290
Jennifer Woodward,44,93509 Weaver Locks Apt. 833,Murraymouth,Delaware,60177,62.615975,-36.070102
Timothy Blair,38,394 Joseph Vista,Garciabury,Arizona,32846,-123.396778,4.727780
Nicole Baker,35,137 Velazquez Inlet Suite 468,North Johnburgh,Indiana,37849,118.189666,5.4699985
Erika Rice,54,103 Laura Flats,West John,Nebraska,72385,36.988239,-84.6244215
Brandon Reeves,61,7627 Dunn Via,Riveraberg,Louisiana,84666,-158.322591,-87.519741
Amanda Gardner,39,5756 Cunningham Cliff,Morganview,Minnesota,58172,80.225097,-2.945557
Shelley Jones,69,23998 Robinson Fork Apt. 219,West Larry,Oklahoma,40529,-85.702098,-55.525652
Wanda Shaffer,34,4155 Stevens Cliffs Suite 334,New Beverly,Indiana,41721,-140.188728,-74.3884185
Travis Padilla,80,241 Jenna Avenue,Larsenfort,Iowa,94880,112.363646,11.359372
Cory Ross,41,167 Alan Centers,South Ashleyland,Arkansas,55569,-168.727368,-60.415241
James Jordan,45,263 Denise Lakes Suite 185,Johnsonbury,Delaware,41357,-70.265985,82.2791715
Shaun Smith,39,377 Wilkerson Branch,Smithshire,South Carolina,08597,174.906897,84.159827
Trevor Warren,65,5544 Norton Roads Apt. 811,Smithborough,Washington,19753,-55.037461,-31.9609415
Kayla Fernandez,69,499 Susan Canyon,West Beverlystad,Minnesota,73446,75.519470,-83.3685165
Adriana Kelly,54,0368 Vanessa Springs,Lindsayfort,Kentucky,27208,-83.307421,-17.443010
Tyler Hall,79,297 James Island Apt. 229,Jenniferstad,Utah,98786,86.125932,29.202190
Steven Kramer,67,202 Kenneth Fort,New Christineland,New York,43376,-117.440768,-32.2811065
Candice Moyer,48,1043 Michelle Loaf,East Dianebury,Indiana,37099,141.704670,-23.862315
Theresa Wheeler,38,659 Lee Landing Apt. 953,Shannonmouth,Kansas,37165,172.622320,68.903830
Timothy Gonzales,49,8887 Martin Meadows Apt. 116,West Crystal,Montana,10449,41.379605,47.5836895
Sue Olson,29,467 Ashley Streets Apt. 246,North Lisa,Alaska,28723,166.031160,67.3630115
Courtney Kelley,67,4660 Delgado Track Suite 779,Thomaschester,North Dakota,02684,81.042663,20.828429
Jennifer Bailey,37,85777 Jennifer Mountain,South Rebeccachester,Kansas,97595,-92.972197,1.2118595
Elizabeth Shields,25,235 Ellison Points,New Travis,Montana,76025,33.414342,-67.721279
Chelsea Lyons,53,207 Butler Locks,Carrollfurt,Rhode Island,48804,-110.168910,73.809929
Pamela Martinez,37,449 Walton Highway,Lake Tammy,Kansas,03372,58.562050,-38.613205
Terry Gomez,65,8589 Charles Mount Apt. 762,Mitchellbury,West Virginia,94700,-50.919348,54.188041
Dr. Jonathan Walker,46,35254 Heather Mount Suite 609,Myersville,Idaho,24044,-173.878487,43.730574
Christopher Lee,31,393 Jennifer Fork Suite 512,New Taylorville,New Hampshire,39014,117.373265,-13.301220
Alejandro Carey,43,30277 Hayes Avenue,Lake Cassandra,Mississippi,93364,121.789051,-45.9111905
Jacqueline Castro,58,32176 James Port Apt. 158,South Amanda,New Jersey,49365,94.751411,-9.406589
Sherry Olson,37,74026 Mcknight Walk,North Susan,Alabama,42025,-69.782369,55.785489
Ronald Vargas,29,57954 Fitzgerald Pass,Benjaminberg,Pennsylvania,78640,83.192052,-33.7533795
Christopher Brown,18,5177 Zachary Inlet,Stevensonborough,Louisiana,90984,130.204536,-82.733294
Angela Sharp,58,15509 Daniel Expressway Suite 362,East Savannah,North Carolina,32433,126.449611,-80.593810
Chad Schneider,27,609 Harris Point Apt. 070,North Anthonyville,South Carolina,53503,-98.544942,-25.255734
David Boyer,69,543 Townsend Gateway Suite 351,Davismouth,New Mexico,60853,-46.714736,-54.009894
Louis Gaines,54,3052 Madeline Expressway,Reedborough,Nebraska,64582,-5.102270,-34.717671
Jeffrey Hayes,36,25404 Garrett Springs,East Johnmouth,Pennsylvania,40471,81.066156,42.6500845
Anthony Garcia,75,623 Nicole Burgs,West Danielstad,Kansas,89472,3.816382,30.9343515
Tyler Jackson,28,04871 Munoz Rapid Suite 009,Bentonborough,Maine,31405,88.909444,71.476310
Theresa Miller,61,350 Hurst Mall Apt. 085,Lake Ashleybury,Alaska,72514,154.000081,69.5107525
Candice Singh,71,087 Miguel Parks Suite 459,Tatestad,Nevada,75332,67.184873,50.9388915
Paula Wyatt,22,0623 Joseph Mountains Apt. 096,Lake Jenniferview,Maryland,63108,70.865725,0.4543495
William Guerrero,40,0353 Jason Alley Suite 309,Sanderschester,Nevada,53446,-165.621689,-19.356023
Richard Hartman,52,711 Justin Springs Suite 601,East Derrickside,Maine,72234,78.651612,35.2731645
Melinda Patton,78,33871 Jackson Row Suite 137,Lake Danielport,Vermont,86849,66.335300,87.6632355
Mark Tyler,22,65267 Clarence Parks Suite 281,Port Joshuaberg,Rhode Island,00683,112.620278,-86.983060
Michael Steele,35,97693 Jonathan Trafficway,Sharonstad,North Carolina,45044,158.960368,73.7704525
Aaron Thompson,29,5076 Smith Circle,Randychester,Alabama,74846,-53.699311,-44.479615
Jennifer Morton,52,62848 Wendy Rapids,North Michelle,Missouri,07954,-149.368560,89.365708
Anna Duarte,69,885 Christy Haven,Port Jamesport,Ohio,72118,-179.677565,67.872530
Michael Wilson,53,6235 Scott Club,Hernandezside,Idaho,23171,-33.946475,-44.261083
Jason Cervantes,46,8658 Kyle Parks,Connerview,New Hampshire,77794,-35.450503,-76.040161
Melissa White,36,623 Selena Cape,Payneborough,Utah,02687,30.086744,-61.4246065
Hannah Johns,57,5606 Murray Fort Apt. 542,Rebeccatown,Oregon,70957,-119.262691,78.5397905
Matthew Orozco,58,4000 Perez Light Suite 410,South Kathy,Oklahoma,14095,-174.968977,72.2266005
Casey Harris,64,3627 Edward Vista,North Danielle,Mississippi,65901,-124.660267,30.306825
Emily Johnson,44,110 Garcia View,Laurenmouth,Texas,50594,-18.394338,1.3302875
Barbara Alexander,49,7523 Jones Forge Apt. 524,New Codyberg,Minnesota,25682,9.989348,-73.2891805
Charles Collier,57,11438 Nicole Lane Suite 131,Lake Catherine,Oregon,56747,-145.189745,-56.484376
Robin Ingram,29,54305 Stephanie Run Suite 470,Smithstad,Nevada,91179,-74.092492,-81.885407
Jodi Martinez,53,2606 Mary Road Suite 348,Luisburgh,Texas,04222,-39.320947,-72.1651925
Donald Wagner,73,4012 Lloyd Green,Craneside,Minnesota,16119,-0.728103,-77.154724
Philip Simmons,58,571 Moore Meadows,New Sara,New York,26049,81.047568,-81.4431305
Dr. Jonathan Rose,45,40640 Petersen Mills,Mcclurechester,Rhode Island,41820,-76.484637,-49.6674875
Mary Byrd,18,66887 Contreras Greens,New Aaron,New Mexico,54266,62.981079,-40.5798895
Ryan Williams,56,64164 Roth Pike,Summerston,New Jersey,20953,16.943518,70.3128025
Patricia Nichols,22,9298 Young Fields,Lake Jacobview,Delaware,94803,-142.887059,-77.5222975
Patrick Howard,72,582 Mack Skyway,West Jessica,Tennessee,77294,-118.519768,-47.395180
Carolyn Moore,50,4784 Laura Green,Castilloville,Arkansas,01857,145.126989,-5.9339465
Jamie Burns,54,79640 Michelle Lights,Autumnbury,Wisconsin,96651,-101.522646,74.5045665
Robert Shaw,57,6780 Dana Mountain,West Brandonview,Alaska,60631,-63.764223,-72.9843575
Colleen Davidson,72,93846 Angela Spring,East Jerry,Utah,58371,18.580724,58.158196
Lindsey King,31,12766 Hammond Road Apt. 294,Goldenstad,North Carolina,68156,110.699920,-73.427348
David King,38,8469 Dwayne Inlet Apt. 435,Adamborough,Nevada,44622,-146.805208,81.9687925
Teresa Long,66,14371 Thomas Wells,Jamesstad,Hawaii,55210,-5.633691,-24.298041
Mark Burton,41,93067 Leah Square,East Veronica,Delaware,08506,-8.058718,17.2392905
Leonard Wilkinson,51,2152 John Creek,Stewartfurt,Rhode Island,12387,63.060797,-85.1784995
Peter Tucker,50,06520 Randy Trafficway,West Matthew,Florida,06291,-72.403967,15.165229
Dr. Raymond Nichols,79,861 Mitchell Isle,Lake Suzanneport,Wyoming,14329,22.885842,-52.8981825
Stephanie Johnson,48,48047 Ortega Way Suite 527,Edwardschester,Florida,74800,-140.569664,-58.4444115
Nathan Chen,37,01260 Richard Forge,Austinton,Wyoming,99029,51.821643,84.0258195
Michele Holden,40,21130 Vazquez Ferry Apt. 767,Lake Drew,Virginia,84162,35.854135,86.681305
Karen Hester,51,141 Jacob Land,Foleyville,Mississippi,12546,81.657594,59.820144
Derek Vasquez,26,34135 Henderson Stravenue,Seanborough,Louisiana,42157,159.965999,-1.9858095
Matthew Roberts,37,26221 Alfred Station,South Lisaburgh,Georgia,93787,10.881921,-64.861903
Jennifer Anderson,21,15835 Phelps Drive Apt. 509,Simsside,New York,92338,-163.995270,19.1155295
Matthew Harris,72,712 Bell Station Suite 533,Rossview,Pennsylvania,94570,86.430443,14.9268005
Patrick Sullivan,28,92721 Wells Isle Suite 726,Williamsville,Pennsylvania,63590,93.885511,33.816457
Sharon Holt,38,95784 Caroline Path,Lake Omarbury,New Hampshire,41958,41.248388,8.271166
Monica Jackson,53,7735 Wu Common Suite 236,East James,Arizona,59576,-121.762910,84.282356
William Stevenson,47,63597 Amanda Well Apt. 323,South Jillian,Iowa,94618,118.126034,55.5542955
Renee Pace,42,141 Golden Forges Suite 382,West Sarah,Pennsylvania,03097,149.934406,-51.2633235
Robert Leonard,72,0955 Olivia Lodge Suite 644,Stephanieberg,Utah,24490,-1.509396,52.847369
Stephanie Rice,31,9681 Mcclure Gardens,Michaelton,Iowa,22690,47.424344,46.2458745
Allison Davis,78,7868 Yu Prairie,Washingtonville,Connecticut,70309,-72.429460,-26.489803
Adam Small,53,609 Cisneros Ports,Lake Kim,Mississippi,30342,150.286431,-74.754263
James Thomas,43,1506 Larsen Alley Suite 489,Lisaside,Nevada,01166,-24.485059,-14.444263
Erin Alvarez,38,557 Dunlap Knolls,Adamsmouth,Tennessee,53360,-31.576214,-26.6544265
Casey Kelly,73,6755 Nelson Mission,New Waynehaven,Maine,97867,-140.495560,70.3990755
Meghan Wells,56,929 Rodriguez Green Apt. 151,New Brianland,New Mexico,92440,-126.337070,72.712307
James Johnson,42,515 Jonathan Crossing Apt. 025,Port Sydney,Missouri,13208,-64.300174,4.3567175
William Matthews,66,745 Turner Streets Apt. 049,Lake Amymouth,Michigan,33695,-154.983919,-31.7334525
Joann Martinez,40,643 William Ports Suite 055,South Gabriella,Delaware,36249,38.951224,70.083260
Jorge Aguirre,54,4928 Salinas Cape Suite 908,South Nicholasmouth,West Virginia,62990,-146.720502,61.896145
Peter Miller,34,66962 Lucas Forest Apt. 815,Glasschester,California,53177,-94.085806,21.4037265
Denise Bruce,74,012 Susan Drive Apt. 983,Lake Joseph,Ohio,22981,-148.141142,-2.812305
Mr. Joseph Cochran PhD,38,0669 Valencia Knoll Apt. 967,North Danielchester,Wisconsin,09595,-89.888828,10.8113565
Darin Campbell,27,27674 Anna Parkways,Waterston,New Mexico,23263,150.503974,-84.224963
Leslie Yang,63,812 West Light Suite 737,Lake Misty,California,75928,-167.776119,72.1544265
Tony Smith,41,45498 Bell Field,West Alicemouth,Maine,31532,-68.773723,-71.493489
Larry Anderson,18,63722 Isaiah Knolls Suite 694,Cynthiatown,Minnesota,09859,16.062619,-59.9655075
Susan White,63,25777 Steven Drive,Matthewport,Minnesota,40958,135.612783,-34.7014945
Jeffrey Hoffman,75,5568 Meyers Lake Apt. 324,South Joshua,Minnesota,32017,-7.933428,11.2583225
Samantha Acevedo,78,6397 Ann Common Apt. 773,North Amytown,Ohio,88569,-57.126959,62.9367725
Brianna Daniels,38,02730 Young Cape Suite 342,Port Howard,Wisconsin,85315,3.839208,69.590444
Erik Torres,79,25665 Matthew Burg,Erikaside,Vermont,29811,8.812039,69.0878205
Arthur Munoz,26,2635 James Brook Suite 628,Ballardland,Utah,72019,-89.910375,-65.8962445
Travis Carroll,57,20638 Whitehead Fort Apt. 508,Taylorland,Connecticut,41414,179.683083,-44.0534965
Edward Cherry,52,37516 Jeremy Oval,New Alisonland,Rhode Island,28459,-163.518073,3.626336
Brian Espinoza,20,8335 Alyssa Creek,West Sarah,Louisiana,80691,43.970380,-87.7818905
Latoya Mayer,60,7174 Steven Hills,Juliaville,Tennessee,34306,-80.387017,49.1855235
Samantha Pearson,25,773 Melissa Brooks Suite 785,North Lisa,Mississippi,39364,-27.788259,5.148954
Andrea Rowe,48,901 Long Cape Suite 730,Lopezberg,Indiana,32845,174.576407,-2.0939205
Hannah Johnson,37,879 Dean Heights Apt. 009,South Gwendolynside,Colorado,95289,-93.125172,38.3149865
Tamara Moore,61,03428 Danielle Bypass Suite 918,Port Mary,Massachusetts,05215,-98.855229,66.9646125
Vanessa Davis,35,889 Parks Hollow,South Michelestad,Maryland,98204,-8.748419,-0.638365
Leslie Tapia,37,6035 Chung Expressway,Hugheston,Oklahoma,50169,39.642609,-9.165966
Jerry Torres,46,19862 Ramirez Extension Apt. 679,West Colton,Alabama,22510,41.326962,-55.414301
Shelby King,21,727 Wright Mountains,Herreraberg,Massachusetts,32302,90.694758,29.681781
Charles Baker,55,6904 Johnson Spurs,North Denise,Utah,22060,63.517271,-46.610962
Rhonda Ramirez,28,0377 Phillip Lake Suite 433,North Holly,Idaho,41125,-84.656246,86.6585385
Earl Larson,23,618 Maynard Junctions Suite 176,Sharonland,Rhode Island,35620,138.475035,83.5623865
Amy Morgan,79,4318 Cynthia Summit,South Jenniferport,Nevada,14727,-63.623625,-74.887160
Regina Crawford,44,409 Sandra Mews,West Douglas,Georgia,65797,130.748832,-3.901515
Savannah Barry,54,6170 Arnold Stream,Port Jason,Oklahoma,51988,117.720008,-17.660113
Jenna Turner,62,915 Hamilton Fort,Port Shawna,North Carolina,44064,-130.902747,-25.595947
Lee Rhodes,20,00786 Hoffman Meadow,Jessicashire,Alaska,42793,-8.210189,-8.150581
Melissa Robinson,74,36970 Rebecca Forge Apt. 729,South Amyborough,Massachusetts,50681,26.975603,43.627634
Gregory Lopez,78,3094 Snyder Circles Suite 073,Henryport,South Dakota,47527,-176.044314,-43.391174
John Daniels,38,37360 Green Isle Apt. 597,Port Matthew,Iowa,38437,163.723833,-67.8839075
Leslie Bishop,57,548 Kelly Ferry,Lake Joshualand,Missouri,85313,-138.465294,44.900812
Andrew Hernandez,59,0090 Goodwin Course Apt. 393,Parkstown,Missouri,22542,106.079268,-48.376134
Lisa Davis,25,0766 Amanda Heights,West Justin,Florida,90503,14.983451,89.714591
Julia Harrison,75,7091 Lisa Burgs Suite 708,West Marvinborough,Idaho,03366,-131.726456,63.7768865
Jerry Livingston,79,35039 Scott Ford,New Susan,West Virginia,15023,-58.004299,-44.7032135
David Mitchell,31,12795 Miller Canyon Apt. 222,North Jennifer,Arizona,82956,-120.562909,47.163775
Frank Miller,62,1965 Lam Wall,East Brendaberg,New Mexico,07685,-112.839652,-29.0501135
Daniel Adams,37,9087 Sean Inlet,North Brandonchester,Indiana,53131,79.385808,-10.022871
Sharon Simpson,47,2964 Arthur Squares,South Misty,Kentucky,01557,13.048253,37.8445255
Kristin Sanchez,31,209 Joshua Station,Jodihaven,Texas,73704,178.406691,28.7475755
Devin Webb,38,029 Avila Way Suite 856,New Adambury,Missouri,10437,69.117457,-87.8183295
Timothy Carpenter,29,87024 Moran Knolls Apt. 120,Riversborough,Maryland,44433,32.732020,7.767558
Joshua Hill,31,468 Mccarthy Park,South Mitchell,West Virginia,85209,78.949239,23.1778095
Michelle Newman,58,6864 Moses Place,Millerstad,Mississippi,63041,-124.581933,-46.6409465
Chelsea Marshall,65,8899 Autumn Plains Apt. 476,North Alicia,Rhode Island,80046,42.115665,-44.476102
Crystal King,71,3614 Barker Brooks,Johnstad,Nebraska,07413,158.543609,66.9490015
James Lewis,79,4114 James Extension,East Robert,Mississippi,19649,42.859606,12.833524
William Coleman,22,18667 Anthony Causeway Apt. 828,South Michaelside,Maine,07948,-2.493259,-60.8242015
Paul Walker,38,275 Michelle Expressway,South Chelsea,Vermont,70052,0.681340,-68.098189
James Mccarthy,38,474 Wells Islands Apt. 215,East Monicaberg,Montana,22292,104.662443,-51.059614
Kenneth Russell,36,6689 May Streets Apt. 643,Port Mistyfort,Washington,72599,-87.358650,55.8539755
Penny Salazar,62,9233 Anderson Trace Suite 028,West Richard,North Carolina,17697,-103.723582,-88.6079825
Seth Parker,34,596 Ortiz Unions,Deantown,Texas,88562,-57.937969,-5.407179
Charles Ramsey,61,970 Perkins Ports,Samuelshire,Arizona,15460,-101.394267,-48.451278
Angela Perry,30,4676 Gregory Isle Suite 287,Patrickborough,Virginia,09452,-152.842423,30.463267
Seth Fitzpatrick,44,71239 Brian Divide,Allisonshire,Georgia,46947,146.620423,19.0729425
Karen Burns,21,440 Oscar Station Apt. 740,Stevensonchester,Maine,98690,20.997599,51.907531
Connie Jones,73,47200 Wendy Course,Lake Kathy,Connecticut,73792,-53.697460,29.019671
Caleb Brown,51,3470 Grant Plains Suite 704,Foleymouth,Vermont,19740,-42.814881,15.816062
Vanessa Chen,55,9032 Jeffrey Port Suite 921,Hannahside,Hawaii,41780,-36.870937,69.3553735
John Pace,69,33252 Wilson Stravenue Apt. 188,Charlesfurt,New York,91041,-70.149018,85.392272
Karen Bradley DDS,39,34124 Edward Inlet Suite 074,Barkerton,California,19953,-85.602795,-28.481208
Wendy Hale,27,039 Conley Corners,Port Christy,Nebraska,67903,59.929147,-47.8721255
Shawn Hernandez,56,57298 Cody Burgs Apt. 330,Nicholsonburgh,Florida,43096,-10.495683,-27.9359635
Andrea Petty,30,2024 Anderson Throughway,Lake Davidshire,Iowa,90467,130.657988,54.654794
Kathryn Garza,80,0273 David Village,West Stevenville,Nebraska,15141,-76.955042,57.7948745
Karen Watson,78,0062 Lindsey Plain,Dakotaburgh,Iowa,58969,167.662117,6.7214895
Johnathan Roberts,76,40088 Charles Turnpike Apt. 752,Reedhaven,Alabama,19255,-119.169170,57.814617
Roy Sparks,63,98529 Johnson Throughway Apt. 267,Williamsmouth,New Hampshire,80207,92.848088,34.318735
James Garcia,75,260 Cross Prairie,New Danielfurt,Alabama,40597,155.117951,-51.6541965
Amy Stuart,57,39401 Cheryl Courts,South Michaelton,West Virginia,99703,-152.885328,-34.545405
Heather Reyes,57,473 Elaine Flats,East Lisamouth,Illinois,07397,83.956944,-75.951808
Michael Smith,56,46651 Christine Parkways,New Erikton,West Virginia,48509,71.130686,61.7866495
Travis Johnson,25,00529 Joseph Fork Suite 203,New Katherine,Rhode Island,18807,144.802046,79.7444795
Harold Wright,20,935 Stephen Motorway Suite 047,Gonzalesberg,Missouri,00722,-18.535301,33.2528385
Kiara Johnson,62,9399 Juan Shoal Apt. 889,Port Cliffordville,Connecticut,17001,25.673449,-35.733297
Jessica Morgan,51,98043 Ryan Landing,South Sara,North Dakota,08921,-11.262649,23.375135
Jason Duncan,34,215 Preston Shoals,Rayberg,Idaho,11024,64.969279,-87.057949
Jessica Williams,35,029 Angela Course,Ortegastad,Mississippi,24348,5.133900,-79.2744275
Michael Terrell,36,01919 Jenna Canyon,Smithport,Virginia,26716,143.058272,32.998070
Kelsey Martin,58,6954 Jeff Streets Suite 150,South Heather,Nevada,23673,-0.640658,-39.0898255
Shannon Hayes,42,70454 Sandra Trail Suite 636,North Heatherborough,Iowa,56468,17.483460,-69.546463
Lindsay Watson,39,7491 Paula View Suite 799,Matthewburgh,North Dakota,07893,-173.459510,56.435099
Sheila Salinas,23,5823 Wilson Flat Suite 968,Lake James,New York,44913,156.485435,-68.7740465
Kimberly Li,73,10689 Samantha Cape Apt. 839,West Amber,Pennsylvania,19442,-34.907885,-61.0897335
Ricardo Huerta,57,898 Medina Pine,Smithburgh,New Jersey,24403,-117.648233,-79.567069
Joshua King,48,125 Jasmine Falls,Brittanybury,Massachusetts,48149,42.019041,43.0047755
Nancy Flores,42,067 Jones Viaduct,West Karen,Delaware,57555,155.680028,-55.4145965
Jean Bradshaw,35,7028 Miller Ford Apt. 240,Meganstad,Montana,21097,124.819870,26.065356
Courtney Mckenzie,53,8887 Rodney Estates,West Matthew,Louisiana,85376,-103.365708,-6.4055465
Jamie West,71,9995 Rick Route,South Kelly,Michigan,39067,-171.804101,2.894611
Teresa Pittman,30,81569 Keller Isle Suite 662,Turnerhaven,Ohio,20256,-89.463967,64.432063
Dwayne Blackwell,67,886 Arellano Cove Suite 677,East Jerrybury,Montana,68558,165.062442,-73.9893655
Wanda Brown,46,22205 Jacqueline Alley,Davistown,Kentucky,73436,45.347903,87.4581855
Sandra Clements,62,7937 Berg Trail Suite 149,Vasquezbury,Vermont,71477,138.420926,81.188902
Jermaine Hamilton,20,1680 Johnson Burg,South Scott,Hawaii,09426,-146.118123,58.984907
Sherri Russell,61,49345 Zachary Junction,Cynthiastad,Kentucky,73363,-54.567438,-75.7485765
William Farmer,40,680 Trevino Manor Apt. 696,Abigailside,Ohio,70145,-80.422219,-61.291773
David Smith,22,235 Estrada Common Apt. 413,West Dennis,Oklahoma,74419,162.855095,37.2701655
Glenda Walker,39,775 Miller Pass,Oscarland,Florida,33244,80.911488,-34.752555
Dr. Jeffrey Lee,23,6679 Ian Mountain Apt. 013,New Anthony,South Carolina,98133,103.614848,-16.364973
Nancy Cooper,60,620 Rhonda Ports,New Krista,South Dakota,41755,-59.531382,51.8309755
Alexander Salazar,58,38543 Monica Locks,North Jeremyland,New York,83786,-60.851357,41.125487
Tina Goodwin,61,73770 Becker Hill Suite 140,Shannonburgh,Arkansas,89244,5.810299,87.820925
Samantha Castaneda,28,537 Kylie Mission Suite 453,New Ericaton,California,00847,73.829824,-7.582809
Adrienne Rojas,67,7823 Randall Haven,Port Isabelchester,California,63922,-156.191960,35.6880455
